unidad_academica,id_estudiante,estado_civil,sexo,sit_laboral,tipo_residencia,anio_nacimiento,anio_egreso_med
ESCINFO,ESCINFO-5231,1.0,2,No,2.0,2004,2020
ESCINFO,ESCINFO-5408,1.0,2,NC,1.0,2001,2019
ESCINFO,ESCINFO-5494,1.0,2,NC,2.0,2001,2018
ESCINFO,ESCINFO-5799,1.0,2,NC,1.0,2001,2019
ESCINFO,ESCINFO-5325,1.0,2,NC,2.0,2004,2020
ESCINFO,ESCINFO-5449,1.0,1,Si,1.0,2001,2018
ESCINFO,ESCINFO-5306,1.0,2,1,2.0,2004,2020
ESCINFO,ESCINFO-5757,1.0,2,No,2.0,2001,2019
ESCINFO,ESCINFO-5718,1.0,2,NC,1.0,2002,2018
ESCINFO,ESCINFO-5428,1.0,1,No,2.0,2001,2019
ESCINFO,ESCINFO-5219,1.0,2,NC,1.0,2003,2019
ESCINFO,ESCINFO-5551,1.0,2,Si,1.0,2002,2018
ESCINFO,ESCINFO-5421,1.0,2,No,1.0,2002,2018
ESCINFO,ESCINFO-5720,1.0,1,NC,2.0,2004,2020
ESCINFO,ESCINFO-5618,1.0,1,No,1.0,2003,2019
ESCINFO,ESCINFO-5223,1.0,2,No,1.0,2001,2018
ESCINFO,ESCINFO-5220,1.0,1,NC,1.0,2004,2020
ESCINFO,ESCINFO-5346,1.0,1,No,1.0,2003,2018
ESCINFO,ESCINFO-5136,1.0,1,Si,3.0,2004,2020
ESCINFO,ESCINFO-5138,1.0,1,NC,1.0,2001,2019
ESCINFO,ESCINFO-5158,1.0,1,NC,1.0,2001,2018
ESCINFO,ESCINFO-5248,1.0,1,NC,1.0,2003,2019
ESCINFO,ESCINFO-5429,1.0,1,NC,-1.0,2002,2019
ESCINFO,ESCINFO-5205,1.0,2,NC,1.0,2002,2018
ESCINFO,ESCINFO-5468,1.0,2,NC,2.0,2004,2020
ESCINFO,ESCINFO-5712,1.0,2,NC,2.0,2003,2018
ESCINFO,ESCINFO-5656,1.0,1,NC,2.0,2003,2019
ESCINFO,ESCINFO-5204,1.0,1,NC,-1.0,2003,2019
ESCINFO,ESCINFO-5115,1.0,2,NC,2.0,2001,2018
ESCINFO,ESCINFO-5725,1.0,2,NC,-1.0,2004,2020
ESCINFO,ESCINFO-5486,1.0,2,NC,-1.0,2002,2019
